PNeID,RA,DEC,Vrad,rmsVrad
NGC4374-141,186.24767,12.95156,395,23
NGC4374-142,186.24792,12.91847,1028,23
NGC4374-143,186.24867,12.89978,1155,23
NGC4374-144,186.24867,12.90614,1054,23
NGC4374-145,186.24875,12.88878,788,23
NGC4374-146,186.24883,12.90306,886,23
NGC4374-147,186.24942,12.90297,1616,23
NGC4374-148,186.24967,12.90228,1440,23
NGC4374-149,186.24967,12.88667,1068,23
NGC4374-150,186.25021,12.88231,1374,23
NGC4374-151,186.25037,12.87217,954,23
NGC4374-152,186.25042,12.89375,1239,23
NGC4374-153,186.25046,12.92758,801,23
NGC4374-154,186.25117,12.86033,1054,23
NGC4374-155,186.25129,12.95203,807,23
NGC4374-156,186.25146,12.90636,1361,23
NGC4374-157,186.25158,12.87475,1101,23
NGC4374-158,186.25183,12.91264,693,23
NGC4374-159,186.25183,12.94883,1077,23
NGC4374-160,186.25262,12.859,901,23
NGC4374-161,186.25267,12.87742,970,23
NGC4374-162,186.25271,12.92842,1188,24
NGC4374-163,186.25275,12.88292,979,26
NGC4374-164,186.25279,12.89039,1155,23
NGC4374-165,186.25296,12.86678,987,23
NGC4374-166,186.253,12.85631,1363,22
NGC4374-167,186.25317,12.81839,1236,23
NGC4374-168,186.25317,12.95647,808,23
NGC4374-169,186.2535,12.92264,606,23
NGC4374-170,186.25367,12.87439,1497,23
NGC4374-171,186.25367,12.85439,1176,23
NGC4374-172,186.25379,12.87583,1193,24
NGC4374-173,186.25425,12.89081,824,23
NGC4374-174,186.25429,12.88622,1016,23
NGC4374-175,186.25454,12.89836,928,23
NGC4374-176,186.25467,12.86353,967,23
NGC4374-177,186.25512,12.90808,780,23
NGC4374-178,186.25529,12.85547,1291,23
NGC4374-179,186.25596,12.87825,1337,25
NGC4374-180,186.25604,12.89817,1019,23
NGC4374-181,186.25637,12.85958,1107,23
NGC4374-182,186.25667,12.88261,1053,23
NGC4374-183,186.25683,12.89556,1027,22
NGC4374-184,186.25712,12.87036,1296,22
NGC4374-185,186.25721,12.85375,1229,23
NGC4374-186,186.25733,12.83086,1568,23
NGC4374-187,186.25758,12.86339,626,23
NGC4374-188,186.25771,12.89531,906,23
NGC4374-189,186.25787,12.8805,770,23
